saksnr,stasjon,omradeplan,prisomrade,statnetts_kunde,sluttkunde,naringstype,moden_bestilling_dato,kapasitet_ko_mw,onsket_tilknytning,kundens_referanse,kunde_og_tilknytningsansvarlig
25/02675,Stokmarknes,Nord,NO4,Noranett AS,Gridcore Energy Storage AS,Batteriproduksjon,2025-10-22,15.0,2026-04-01,,Lars Erik Johansen
25/02680,Stølaheia,Sør Rogaland og Agder,NO2,Lnett AS,Uncap AS,Annet forbruk,2026-01-13,70.0,2029-01-01,,Ingvild Grøtterud Birkeland
25/02721,Tunnsjødal,Midt,NO4,Tensio AS,JOMA GRUVER AS,Industri,2025-12-19,4.6,2028-01-01,,Christopher Aarnseth Ruud
25/02724,Klæbu,Midt,NO3,Tensio AS,COOP NORGE SA,Transport,2025-09-12,1.4,2025-10-01,,Christopher Aarnseth Ruud
25/02772,Hasle,"Oslo, Akershus og Østfold",NO1,Elvia As,Uncap AS,Annet forbruk,2026-01-22,90.0,2028-04-01,,Heidi Hellesvik Ringstad
25/02803,Frogner,"Oslo, Akershus og Østfold",NO1,Elvia As,ADVANSIA AS,Annet forbruk,2026-01-26,1.55,2026-01-01,,Heidi Hellesvik Ringstad
25/02856,Holen,Telemark og Vestfold,NO2,Otra Kraft DA,Otra Kraft DA,Annet forbruk,2024-12-12,1500.0,2025-12-30,,Geir Kåsa
25/02857,Rjukan,Telemark og Vestfold,NO2,Hydro Energi As,Hydro Energi As,Annet forbruk,2025-03-27,750.0,2024-09-29,,Geir Kåsa
25/02859,Rjukan,Telemark og Vestfold,NO2,Statkraft Energi As,STATKRAFT ENERGI AS,Annet forbruk,2025-03-10,900.0,2034-12-30,,Geir Kåsa
25/02860,Rjukan,Telemark og Vestfold,NO2,Statkraft Energi As,STATKRAFT ENERGI AS,Annet forbruk,2025-10-29,140.0,2034-10-01,,Geir Kåsa
25/02906,Bjerkreim,Sør Rogaland og Agder,NO2,Lnett AS,EWZ MÅKAKNUTEN VIND AS,Annet forbruk,2026-01-06,7.0,2026-01-01,,Ingvild Grøtterud Birkeland
25/02922,Klæbu,Midt,NO3,Tensio AS,RIMOL MILJØPARK AS,Industri,2026-01-20,0.5,2026-01-01,,Christopher Aarnseth Ruud
25/02934,Tveiten,Telemark og Vestfold,NO2,Lede AS,STORMVIND AS,Annet forbruk,2025-11-06,30.0,2029-09-29,,Geir Kåsa
25/03004,Lindås,Bergen og Haugalandet,NO5,BKK AS,SKIPAVIKA NÆRINGSPARK AS,Datasenter,2026-01-09,45.0,2027-04-01,,Magnus Tennøe
25/03026,Strinda,Midt,NO3,Tensio AS,STATKRAFT VARME AS,Annet forbruk,2026-01-13,8.0,2028-01-01,,Christopher Aarnseth Ruud
26/03076,Hof,Telemark og Vestfold,NO2,Lede AS,Norgips Norge AS,Industri,2026-01-05,7.0,2026-12-31,,Geir Kåsa
26/03112,Hof,Telemark og Vestfold,NO2,Lede AS,Uncap AS,Annet forbruk,2025-05-12,25.0,2027-06-30,,Geir Kåsa
26/03114,Rød,Telemark og Vestfold,NO2,Lede AS,STORMVIND AS,Annet forbruk,2024-11-14,20.0,2026-03-07,,Geir Kåsa
26/03116,Rød,Telemark og Vestfold,NO2,Lede AS,STORMVIND AS,Annet forbruk,2024-11-14,5.0,2025-12-31,,Geir Kåsa
26/03117,Hof,Telemark og Vestfold,NO2,Lede AS,STORMVIND AS,Annet forbruk,2025-08-19,10.0,2027-03-30,,Geir Kåsa
26/03165,Rød,Telemark og Vestfold,NO2,Lede AS,LØVENSKIOLD-FOSSUM KRAFT DRIFT AS,Datasenter,2026-01-21,96.0,2027-10-01,,Geir Kåsa
26/03170,Tveiten,Telemark og Vestfold,NO2,Lede AS,MAGNA EIENDOM AS,Datasenter,2026-01-28,80.0,2031-01-01,,Geir Kåsa
26/03374,Porsgrunn,Telemark og Vestfold,NO2,Lede AS,DRIV EIENDOMSFORVALTNING AS,Annet forbruk,2026-02-03,1.0,2026-04-01,,Geir Kåsa
