Saksnr.,Stasjon for tilknytning i transmisjonsnettet,Områdeplan,Prisområde,Statnetts kunde,Sluttkunde,Næringstype,Dato - moden bestilling fra sluttkunde,Kapasitet i kø (MW),Kundens ønskede dato for tilknytning,Kundens referanse,Kunde og tilknytningsansvarlig
25/02083,Kvitfossen,Nord,NO4,Elmea AS,Lofoten Salmon as,Oppdrettsnæring,24.04.2025,5,28.09.2028,,Lars Erik Johansen
25/02087,Furuset,"Oslo, Akershus og Østfold",NO1,Elvia As,HAFSLUND CELSIO AS,Annet forbruk,12.03.2025,6,30.11.2027,,Heidi Hellesvik Ringstad
25/02103,Nedre Røssåga,Helgeland og Salten,NO4,Linea AS,GreenH,Hydrogen/ammoniakk,31.12.2024,10,29.09.2034,,Ingvild Grøtterud Birkeland
25/02112,Vang,Innlandet,NO1,Elvia As,Green Mountain Innlandet AS,Datasenter,08.10.2022,70,30.12.2027,,Heidi Hellesvik Ringstad
25/02121,Bardufoss Transformatorstasjon,Nord,NO4,Arva AS,RÅ BIOPARK AS,Petroleum,25.05.2025,5,31.08.2027,,Lars Erik Johansen
25/02124,Lio,Telemark og Vestfold,NO2,Statkraft Energi As,DataEnergy,Datasenter,10.04.2025,50,31.03.2026,,Geir Kåsa
25/02130,Smestad,"Oslo, Akershus og Østfold",NO1,Elvia As,Oslo Kommune Vann- og avløpsetaten,Annet forbruk,20.10.2020,16,01.04.2026,,Heidi Hellesvik Ringstad
25/02131,Furuset,"Oslo, Akershus og Østfold",NO1,Elvia As,Oslo Kommune Vann- og avløpsetaten,Annet forbruk,20.10.2020,4,29.06.2026,,Heidi Hellesvik Ringstad
25/02153,Kvandal,Nord,NO4,Nordkraft Industrinett,Aaktik Digital AS,Datasenter,12.06.2025,200,29.09.2028,,Lars Erik Johansen
25/02154,Kvandal,Nord,NO4,Nordkraft Industrinett,Aaktik Digital AS,Datasenter,12.06.2025,90,29.09.2029,,Lars Erik Johansen
25/02160,Hasle,"Oslo, Akershus og Østfold",NO1,Elvia As,AtNorth AS,Datasenter,09.06.2025,60,29.06.2028,,Heidi Hellesvik Ringstad
25/02175,Røykås,"Oslo, Akershus og Østfold",NO1,Elvia As,RUTER AS,Transport,18.05.2025,6,29.06.2028,,Heidi Hellesvik Ringstad
25/02191,Hof,Telemark og Vestfold,NO2,Lede AS,Uncap AS,Annet forbruk,03.07.2025,30,10.02.2027,,Geir Kåsa
25/02229,Kvitfossen,Nord,NO4,Elmea AS,Polarfeed AS,Industri,16.07.2025,15,01.01.2028,,Lars Erik Johansen
25/02230,Vinnelys,Nord,NO4,Vissi AS,Mowi AS,Oppdrettsnæring,23.07.2025,"4,8",31.05.2028,,Lars Erik Johansen
25/02231,Follo,"Oslo, Akershus og Østfold",NO1,Elvia As,Bulk Data Centers AS,Datasenter,27.11.2025,80,01.04.2027,,Heidi Hellesvik Ringstad
25/02232,Samnanger,Bergen og Haugalandet,NO5,BKK AS,Regn / Kitebrook,Datasenter,18.11.2024,100,31.03.2025,,Magnus Tennøe
25/02281,Bardufoss Transformatorstasjon,Nord,NO4,Arva AS,FORSVARSBYGG,Annet forbruk,20.05.2025,4,01.04.2026,,Lars Erik Johansen
25/02288,Salten transformatorstasjon,Helgeland og Salten,NO4,Arva AS,VARTDAL PLAST BODØ AS,Annet forbruk,06.07.2023,2,01.01.2026,,Ingvild Grøtterud Birkeland
25/02300,Vardal,Innlandet,NO1,Elvia As,Nammo Raufoss AS,Industri,30.10.2024,1,01.01.2027,,Heidi Hellesvik Ringstad
25/02301,Vardal,Innlandet,NO1,Elvia As,Nammo Raufoss AS,Industri,30.10.2024,1,01.01.2026,,Heidi Hellesvik Ringstad
25/02337,Fana Transformatorstasjon,Bergen og Haugalandet,NO5,BKK AS,TINE SA,Transport,25.08.2025,"1,6",01.07.2025,,Magnus Tennøe
25/02347,Fana Transformatorstasjon,Bergen og Haugalandet,NO5,BKK AS,PLUG AS,Transport,29.08.2025,"4,99",01.07.2026,,Magnus Tennøe
25/02362,Nedre Røssåga,Helgeland og Salten,NO4,Linea AS,Aaktik Digital AS,Datasenter,20.10.2025,250,01.07.2028,,Ingvild Grøtterud Birkeland
25/02369,Førre,Bergen og Haugalandet,NO2,Fagne AS,MOWI ASA,Oppdrettsnæring,12.01.2026,"1,6",01.07.2026,,Magnus Tennøe
25/02389,Arendal Industrinett,Sør Rogaland og Agder,NO2,Glitre Nett AS,Bulk Data Center AS,Datasenter,04.09.2025,150,31.12.2028,,Geir Kåsa
25/02396,Husnes,Bergen og Haugalandet,NO2,Hydro Aluminium As,Hydro Aluminium AS,Industri,28.05.2025,33,31.12.2034,,Magnus Tennøe
25/02516,Salten transformatorstasjon,Helgeland og Salten,NO4,Arva AS,FJUEL BODØ AS,Transport,21.03.2025,2,01.04.2026,,Ingvild Grøtterud Birkeland
25/02523,Spanne,Bergen og Haugalandet,NO2,Fagne AS,AtNorth AS,Datasenter,16.12.2025,120,31.03.2028,,Magnus Tennøe
25/02544,Stokmarknes,Nord,NO4,Noranett AS,AVINOR AS,Transport,20.02.2023,"2,8",01.10.2030,,Lars Erik Johansen
25/02545,Blåfalli,Bergen og Haugalandet,NO2,Fagne AS,ARCEM GO-DC2 AS,Datasenter,22.01.2026,40,01.04.2032,,Magnus Tennøe
