navn,nveNetbasID,spenning_kV,driftsattaar,eier,lat,lon
SKOLLENBORG-T,77372,,1968,GLITRE ENERGI NETT AS,59.62025580438912,9.66533513118608
,,,,,58.9421150089175,5.716641581319179
SKODDEBERG,80092,,1953,HÅLOGALAND KRAFT NETT AS,68.6253410074903,17.26094200004472
T1F TORVVEIEN,,,,NORGESNETT AS,59.232040392802105,10.97774035243043
CD RØST,,,1963,LOFOTKRAFT AS,67.51841578994896,12.122662307268019
MEL,77527,,2001,LINJA AS,61.346755527342424,6.55600512080117
BLOMJOTEN TRANSFORMATORSTASJON,,,1960,HÅLOGALAND KRAFT NETT AS,68.71409712968016,16.512278894256482
MÅGELI,80525,,1956,ODDA ENERGI NETT AS,60.13287485804086,6.6280994837649825
,,,,,59.02297318422163,6.068437885084423
,,,,,58.49515192128498,6.032015285619505
,,,,,58.97723010246487,5.715524094313855
,,,,,58.80649530103759,6.252703757373943
,,,,,59.06106418620735,6.6646346937715695
,,,,,58.99112838137529,5.731411540805647
NES TRST,,,1983,ELVIA AS,60.818582746617096,10.84807424146793
KJENNER,79767,,1979,GLITRE ENERGI NETT AS,59.80595866843741,10.337399222638707
,,,,,58.90079532318696,5.706355651828125
N01-HVS1,77893,,2016,BULK INFRASTRUCTURE HOLDING AS,58.25762269518311,7.8936278098161194
CE Å,,,1962,LOFOTKRAFT AS,67.88210904177225,12.980435218095668
DOKKA TRSF.ST.,,,2005,ELVIA AS,60.82045481079759,10.112738116335057
TEFRE,,,,SUNNFJORD ENERGI AS,61.46104212233407,5.896915385955059
KANSTADBOTN TRANSFORMATORSTASJ,,,1960,HÅLOGALAND KRAFT NETT AS,68.50683838438015,15.88239923710364
CF VÆRØY,,,1985,LOFOTKRAFT AS,67.65751741274029,12.71911224872827
ENGJOM TRSF.ST.,,,1983,ELVIA AS,61.28759874051348,10.17391309553684
LYSEBOTN,77457,,1953,LYSE PRODUKSJON AS,59.05231352343801,6.616458008323986
HOMMEDAL (TELLNES),77456,,1960,TITANIA AS,58.33216846732725,6.4120832056513315
MESNA KRV,,,,ELVIA AS,61.11699725698336,10.470841315909434
SANDE,,,,SUNNFJORD ENERGI AS,61.32695062578201,5.775316494591913
OTTERÅ T-AVGRENING,80559,,1983,HÅLOGALAND KRAFT NETT AS,68.53564800643915,16.587108000292456
MYKSTUFOSS,80698,,1964,GLITRE ENERGI NETT AS,60.04940897241223,9.200428121944938
,,,,,59.10310593004636,6.011545703311431
ODDA,77386,,1967,ODDA ENERGI NETT AS,60.065836156073544,6.5502314516078135
SETERSBERG T,80066,,1974,GLITRE ENERGI NETT AS,59.899500140390586,9.888635788211053
UVDAL 2,77319,,1967,SKAGERAK KRAFT AS,60.264975373265656,8.93139686961144
,,,,,58.91124281549504,5.5919305273454105
BJ SKOTNES SKOLE,,,1937,LOFOTKRAFT AS,68.08389820273678,13.538290925561439
AB RISHOLMEN,,,1958,LOFOTKRAFT AS,68.16806198782078,14.669611376085266
,,,,,58.82843644641154,6.05568775489731
POLLAN,,,,RØDØY-LURØY KRAFTVERK AS,66.40354086286376,12.8860037716182
,,,,,58.93224892656123,5.600734754182097
,,,,ANDØY ENERGI NETT AS,69.00965458265634,15.562119084393213
,,,,,58.54838473992297,5.766867924774074
,,,,,58.88330756021594,5.693958374491247
