saksnr,stasjon,omradeplan,prisomrade,statnetts_kunde,sluttkunde,naringstype,reservert_mw,reservert_dato,onsket_tilknytning,kundens_referanse,kunde_og_tilknytningsansvarlig
23/01144,Høyanger,Sogn og Sunnmøre,NO3,Linja AS,Hydro Havrand,Hydrogen/ammoniakk,5.8,2025-09-24,2025-10-14,,Hans Olav Ween
22/00625,Hinnøy,Nord,NO4,Noranett AS,Andfjord Salmon,Oppdrettsnæring,5.6,2023-02-20,2027-06-24,,Lars Erik Johansen
22/00673,Vinnelys,Nord,NO4,Vissi AS,Lerøy,Oppdrettsnæring,5.6,2023-10-30,2026-05-31,,Lars Erik Johansen
22/00696,Sautso,Nord,NO4,Vissi AS,Artic Core AS,Datasenter,5.0,2025-10-08,2026-05-31,,Lars Erik Johansen
23/00893,Skaidi,Nord,NO4,Lucerna AS,Cermaq,Oppdrettsnæring,5.0,2023-03-30,2025-12-31,,Lars Erik Johansen
25/02185,Kolsvik,Helgeland og Salten,NO4,Linea AS,AQUACULTURE INNOVATION AS,Oppdrettsnæring,5.0,2024-02-08,2025-06-29,,Ingvild Grøtterud Birkeland
23/01219,Niingen,Nord,NO4,Noranett AS,Bogen Aqua,Oppdrettsnæring,5.0,2026-01-18,2028-01-30,,Lars Erik Johansen
23/01153,Fræna,Midt,NO3,Elinett AS,Omya Hustadmarmor AS,Industri,5.0,2018-10-15,2031-12-31,,Christopher Aarnseth Ruud
21/00006,Strinda,Midt,NO3,Tensio AS,Statkraft Varme,Industri,5.0,2021-03-17,2026-02-28,,Christopher Aarnseth Ruud
25/02312,Fagrafjell,Sør Rogaland og Agder,NO2,Lnett AS,Norsk Stein Tau,Industri,5.0,2024-05-27,2024-12-31,,Ingvild Grøtterud Birkeland
23/01141,Høyanger,Sogn og Sunnmøre,NO3,Linja AS,Vest Resirkulering,Industri,5.0,2025-11-16,2027-03-30,,Hans Olav Ween
23/00867,Ålfoten,Sogn og Sunnmøre,NO3,Linja AS,Svelgen Property AS,Datasenter,4.8,2023-03-08,2026-03-30,,Hans Olav Ween
